time,x,y,phi,v
0,-20.0225556394499,-11.2533466606904,0.0061368682126488,7.46875810663947
0.1,-19.3608294842494,-11.2484748502561,-0.000368729653514036,6.99707331512209
0.2,-18.7162792806775,-11.2473801540431,-0.00653949427588292,6.57894823032961
0.3,-18.088648842061,-11.2498970781299,-0.0124168334563171,6.21052651418049
0.4,-17.4776819817268,-11.2558601285951,-0.018042154996676,5.88795182859318
0.5,-16.8831225130016,-11.2651038115173,-0.0234568666988188,5.60736783548615
0.6,-16.3047142492123,-11.2774626329752,-0.0287023763646049,5.36491819677783
0.7,-15.7422010036856,-11.2927710990472,-0.0338200917958936,5.1567465743867
0.8,-15.1953265897483,-11.310863715812,-0.0388514207945441,4.97899663023121
0.9,-14.6638348207273,-11.3315749893482,-0.0438377711624158,4.82781202622981
1,-14.1474695099493,-11.3547394257344,-0.0488205507013679,4.69933642430096
1.1,-13.6459744707412,-11.3801915310492,-0.0538411672132599,4.58971348636312
1.2,-13.1590935164298,-11.4077658113711,-0.0589410284999509,4.49508687433473
1.3,-12.6865704603418,-11.4372967727788,-0.0641615423633004,4.41160025013426
1.4,-12.2281491158041,-11.4686189213509,-0.0695441166051675,4.33539727568017
1.5,-11.7835732961435,-11.501566763166,-0.0751301590274117,4.2626216128909
1.6,-11.3525868146868,-11.5359748043025,-0.0809610774318921,4.18941692368492
1.7,-10.9349334847605,-11.5716775508394,-0.087078279620367,4.11192686998429
1.8,-10.5303098719917,-11.6085369707375,-0.0935001268060229,4.0271185510146
1.9,-10.1382244790048,-11.6465243402221,-0.100153246410014,3.93523664550602
2,-9.75813902348489,-11.6856381284297,-0.106941444991171,3.83734120446289
2.1,-9.38951522311696,-11.7258768044966,-0.113768529108324,3.73449227888956
2.2,-9.03181479558614,-11.7672388375593,-0.120538305320304,3.62774991979037
2.3,-8.6844994585775,-11.8097226967542,-0.127154580185942,3.51817417816968
2.4,-8.34703092977613,-11.8533268512176,-0.133521160264067,3.40682510503183
2.5,-8.0188709268671,-11.898049770086,-0.13954185211351,3.29476275138117
2.6,-7.69950583012461,-11.9438801316737,-0.145121889779672,3.18299748289107
2.7,-7.38898165205084,-11.9905844454224,-0.150198899182373,3.07141222835688
2.8,-7.08789984343067,-12.0377087168595,-0.154742655367597,2.9587709288315
2.9,-6.79688567883419,-12.0847894936876,-0.158724312317385,2.84378952989393
3,-6.51656443283147,-12.1313633236093,-0.162115024013776,2.72518397712318
3.1,-6.24756137999258,-12.1769667543274,-0.164885944438811,2.60167021609826
3.2,-5.9905017948876,-12.2211363335444,-0.16700822757453,2.47196419239818
3.3,-5.74601095208659,-12.263408608963,-0.168453027402974,2.33478185160194
3.4,-5.51471412616162,-12.3033201283035,-0.169191497912587,2.1888391394589
3.5,-5.29724469287466,-12.3404798907602,-0.16922105247013,2.03355057941314
3.6,-5.09426782734275,-12.3747812871009,-0.168642179583454,1.8710728007413
3.7,-4.90645650598767,-12.4061874775999,-0.167580655084121,1.70423515086626
3.8,-4.73448370523117,-12.434661622532,-0.166162254803693,1.53586697721095
3.9,-4.57902240149502,-12.4601668821715,-0.164512754573733,1.36879762719824
4,-4.44074557120101,-12.4826664167931,-0.162757930225803,1.20585644825106
4.1,-4.32032619077088,-12.5021233866713,-0.161023557591465,1.04987278779228
4.2,-4.21843723662642,-12.5185009520807,-0.159435412502281,0.903675993244829
4.3,-4.13569740773232,-12.5317694432106,-0.158115854005091,0.770017556605285
4.4,-4.07151400584447,-12.5420592127607,-0.157110983272841,0.649911345242747
4.5,-4.02410313291789,-12.549657967914,-0.156391915038409,0.542662573001973
4.6,-3.99163065329012,-12.5548600521156,-0.155926601559253,0.447504393035519
4.7,-3.97226243129869,-12.5579598088111,-0.15568299509283,0.363669958495949
4.8,-3.96416433128113,-12.5592515814456,-0.155629047896597,0.290392422535819
4.9,-3.96550221757498,-12.5590297134645,-0.15573271222801,0.226904938307693
5,-3.97444195451778,-12.5575885483131,-0.155961940344528,0.172440658964128
5.1,-3.98914940644704,-12.5552224294367,-0.156284684503606,0.126232737657684
5.2,-4.00779043770032,-12.5522257002807,-0.156668896962701,0.0875143275409226
5.3,-4.02853091261513,-12.5488927042903,-0.157082529979271,0.0555185817664027
5.4,-4.04953669552902,-12.5455177849109,-0.157493535810772,0.0294786534866844
5.5,-4.06897365077952,-12.5423952855878,-0.157869866714662,0.00862769585432788
5.6,-4.08505617944842,-12.5398117591667,-0.158180337483735,-0.00779216069461444
5.7,-4.09708631236188,-12.537879183786,-0.158413090929211,-0.0203376193562647
5.8,-4.10543799232801,-12.5365374857245,-0.158575318564,-0.0293671240926977
5.9,-4.11053055513793,-12.5357193052644,-0.158675018569282,-0.035230723047873
6,-4.11278333658273,-12.5353572826875,-0.158720189126243,-0.0382784643657504
6.1,-4.1126156724535,-12.5353840582759,-0.158718828416063,-0.0388603961902896
6.2,-4.11044689854136,-12.5357322723117,-0.158678934619927,-0.0373265666654502
6.3,-4.10669635063739,-12.5363345650769,-0.158608505919017,-0.034027023935192
6.4,-4.10178336453271,-12.5371235768536,-0.158515540494517,-0.0293118161434747
6.5,-4.0961272760184,-12.5380319479238,-0.15840803652761,-0.023530991434258
6.6,-4.09014742088558,-12.5389923185695,-0.158293992199478,-0.0170345979515015
6.7,-4.08426313492533,-12.5399373290728,-0.158181405691305,-0.010172683839165
6.8,-4.07889375392876,-12.5407996197157,-0.158078275184273,-0.00329529724120821
6.9,-4.07444714231492,-12.5415136734947,-0.157992380513799,0.00325476391533484
7,-4.07107469283473,-12.5420551719714,-0.157926619840929,0.00929679872375857
7.1,-4.06867535534253,-12.5424403481065,-0.157879086335857,0.0148096570053062
7.2,-4.06713741413819,-12.542687148132,-0.15784767016092,0.0197789294996494
7.3,-4.0663491535216,-12.5428135182802,-0.157830261478456,0.0241902069464601
7.4,-4.06619885779264,-12.542837404783,-0.157824750450803,0.0280290800854102
7.5,-4.0665748112512,-12.5427767538725,-0.157829027240298,0.0312811396561714
7.6,-4.06736529819716,-12.5426495117809,-0.157840982009278,0.0339319763984157
7.7,-4.06845860293039,-12.5424736247402,-0.157858504920082,0.0359671810518149
7.8,-4.0697430097508,-12.5422670389824,-0.157879486135046,0.0373723443560407
7.9,-4.07110680295825,-12.5420477007397,-0.157901815816509,0.0381330570507651
8,-4.07243826685264,-12.5418335562441,-0.157923384126808,0.0382349098756599
8.1,-4.07362568573384,-12.5416425517278,-0.15794208122828,0.037663493570397
8.2,-4.07456044419095,-12.5414921353565,-0.157955856121787,0.0364069073238346
8.3,-4.07520284816132,-12.5413886829764,-0.157963965825001,0.0345090147030859
8.4,-4.07558082524407,-12.5413277069102,-0.157966950706435,0.03206839207502
8.5,-4.07572514336073,-12.5413042631785,-0.157965405039373,0.0291859139160977
8.6,-4.0756665704328,-12.5413134078021,-0.157959923097099,0.02596245470278
8.7,-4.0754358743818,-12.5413501968014,-0.157951099152896,0.0224988889115276
8.8,-4.07506382312925,-12.5414096861973,-0.157939527480048,0.0188960910188016
8.9,-4.07458118459665,-12.5414869320104,-0.15792580235184,0.0152549355010625
