time,x,y,phi,v
0,-17.9707978416758,-11.2351748557088,-0.0141064683583123,6.72008037789164
0.1,-17.2195137295785,-11.2418824962423,-0.0114670480419738,6.96333008098884
0.2,-16.4994168492583,-11.248038599473,-0.00930650365836356,7.09939136942083
0.3,-15.8089776395425,-11.2536669411646,-0.00757832046498473,7.13967774581999
0.4,-15.1466665392578,-11.2587912970806,-0.00623598371934059,7.09560271281871
0.5,-14.5109539872314,-11.2634354429846,-0.00523297867893437,6.97857977304936
0.6,-13.9003104222903,-11.26762315464,-0.00452279060126932,6.80002242914434
0.7,-13.3132062832615,-11.2713782078106,-0.00405890474384866,6.57134418373603
0.8,-12.7481120089721,-11.2747243782599,-0.00379480636417565,6.30395853945681
0.9,-12.2034980382489,-11.2776854417514,-0.00368398071975351,6.00927899893906
1,-11.6778348099192,-11.2802851740488,-0.0036799130680855,5.69871906481517
1.1,-11.1695927628098,-11.2825473509155,-0.00373608866667483,5.38369223971752
1.2,-10.6772423357478,-11.2844957481153,-0.00380599277302477,5.0756120262785
1.3,-10.1992539675603,-11.2861541414115,-0.00384311064463854,4.78589192713049
1.4,-9.73409809707421,-11.2875463065679,-0.00380092753901939,4.52594544490587
1.5,-9.28024516311658,-11.288696019348,-0.00363292871367054,4.30718608223704
1.6,-8.83619338326379,-11.2896268676681,-0.00329518078575511,4.14058752649846
1.7,-8.40108224433067,-11.2903581030102,-0.00280334076368863,4.02697038035313
1.8,-7.97469381511417,-11.2909046315456,-0.00223277803476419,3.95698137734985
1.9,-7.55683820570969,-11.2912811698223,-0.00166146774349177,3.92082327889347
2,-7.14732552621265,-11.2915024343888,-0.00116738503438134,3.90869884638888
2.1,-6.74596588671844,-11.2915831417931,-0.000828505051942893,3.91081084124094
2.2,-6.35256939732247,-11.2915380085837,-0.000722802940686387,3.91736202485453
2.3,-5.96694616812016,-11.2913817513088,-0.000928253845121801,3.91855515863452
2.4,-5.58869719743968,-11.291176787642,-0.00151750063771402,3.90662079147946
2.5,-5.21657626575217,-11.291178796716,-0.00254158245166778,3.88200506817607
2.6,-4.84912262178467,-11.2916923951566,-0.00404606794075502,3.84723447931576
2.7,-4.48487551424781,-11.2930221995929,-0.00607652575832868,3.80483551564923
2.8,-4.1223741918522,-11.2954728266545,-0.00867852455774171,3.75733466792721
2.9,-3.76015790330846,-11.2993488929707,-0.011897632992347,3.70725842690041
3,-3.39676589732721,-11.3049550151708,-0.0157794197154976,3.65713328331956
3.1,-3.03080573943246,-11.3125875325448,-0.0203670526817846,3.60942077044543
3.2,-2.66245089105419,-11.3223530587307,-0.0256486732106899,3.56509352499224
3.3,-2.29343772048062,-11.3341688438711,-0.0315575010237324,3.52363812919567
3.4,-1.92557031500315,-11.3479439332003,-0.0380243761511226,3.48447677621579
3.5,-1.56065276191317,-11.3635873719527,-0.0449801386230712,3.44703165921263
3.6,-1.20048914850207,-11.3810082053627,-0.0523556284697886,3.41072497134626
3.7,-0.846883562061252,-11.4001154786647,-0.0600816857214854,3.37497890577671
3.8,-0.501587129118238,-11.4208305142472,-0.0680968008804382,3.33922988363688
3.9,-0.165132878631701,-11.4433570090454,-0.0765154253064399,3.30324156943501
4,0.163164258008545,-11.4681810345411,-0.0856279712168006,3.26710487105473
4.1,0.484042310176557,-11.4958009393703,-0.095732501300896,3.23092492435247
4.2,0.798239307246383,-11.526715072169,-0.107127078248102,3.19480686518469
4.3,1.10649327859208,-11.561421781573,-0.120109764747794,3.15885582940784
4.4,1.4095422535877,-11.6004194162185,-0.134978623489348,3.12317695287837
4.5,1.70812426160728,-11.6442063247413,-0.15203171716214,3.08787537145273
4.6,2.00283348119164,-11.6932480574881,-0.171477445420482,3.05302968808245
4.7,2.29368129818621,-11.7478772868583,-0.19316094994725,3.01861101115115
4.8,2.58053152926019,-11.8083930391719,-0.216835391726126,2.984563230299
4.9,2.86324799107158,-11.8750943407464,-0.242253931733802,2.95083023516413
5,3.14169450027838,-11.9482802178993,-0.269169730946973,2.91735591538464
5.1,3.41573487353858,-12.0282496969482,-0.297335950342332,2.88408416059867
5.2,3.68523292751019,-12.1153018042106,-0.326505750896573,2.85095886044432
5.3,3.95005247884936,-12.2097355659988,-0.356432293587414,2.81792390456037
5.4,4.21001275551422,-12.3117219461005,-0.386893744486267,2.78493920272231
5.5,4.46475647235422,-12.4209249476781,-0.417767257233415,2.75202808355961
