time,x,y,phi,v
0,-15.9631269759894,-10.3100562649116,0.454605672572085,1.65714907646179
0.1,-15.8033874984647,-10.2318298096365,0.447039563089383,1.62836248027471
0.2,-15.6472221403684,-10.1568510807356,0.439536488359975,1.60252137033822
0.3,-15.4944379102215,-10.0850112001892,0.432050978913837,1.5792788957573
0.4,-15.3448418165451,-10.0162012899778,0.424537565280948,1.5582882056369
0.5,-15.19824086786,-9.95031247208204,0.416950777991286,1.53920244908198
0.6,-15.0544420726875,-9.88723586848227,0.409245147574829,1.52167477519751
0.7,-14.9132524395484,-9.82686260115903,0.401375204561554,1.50535833308845
0.8,-14.7744789769638,-9.76908379209278,0.39329547948144,1.48990627185976
0.9,-14.6379286934548,-9.71379056326402,0.384960502864463,1.47497174061641
1,-14.5034085975423,-9.66087403665323,0.376324805240603,1.46020788846335
1.1,-14.3707256977473,-9.61022533424089,0.367342917139837,1.44526786450554
1.2,-14.239687002591,-9.56173557800748,0.357969369092142,1.42980481784796
1.3,-14.1100995205942,-9.5152958899335,0.348158691627497,1.41347189759555
1.4,-13.9817702602781,-9.47079739199943,0.337865415275879,1.39592225285329
1.5,-13.8545062301636,-9.42813120618575,0.327044070567267,1.37680903272613
1.6,-13.7281144387718,-9.38718845447295,0.315649188031638,1.35578538631903
1.7,-13.6024134217755,-9.34786429316892,0.303639062330121,1.33252061335521
1.8,-13.4774886958943,-9.31014731787787,0.29105916938865,1.30705807898469
1.9,-13.3536937944055,-9.27411992591338,0.27804250453863,1.279816664632
2,-13.2313939848413,-9.23986862139936,0.26472589487107,1.25123169251079
2.1,-13.110954534734,-9.20747990845974,0.251246167476976,1.2217384848347
2.2,-12.9927407116157,-9.17704029121843,0.237740149447356,1.1917723638174
2.3,-12.8771177830187,-9.14863627379935,0.224344667873216,1.16176865167252
2.4,-12.7644510164752,-9.12235436032643,0.211196549845565,1.13216267061373
2.5,-12.6551056795172,-9.09828105492348,0.198432622455361,1.10338974285458
2.6,-12.549313326719,-9.07645676552852,0.18616955610376,1.07585263641596
2.7,-12.4467727988474,-9.05673825239835,0.174443716731099,1.04982442307796
2.8,-12.3470502905885,-9.03893654739886,0.163271474415279,1.02554588017328
2.9,-12.2497119966283,-9.022862682396,0.152669199234199,1.00325778503462
3,-12.1543241116529,-9.00832768925568,0.142653261265762,0.983200914994659
3.1,-12.0604528303483,-8.99514259984384,0.133240030587866,0.965616047386089
3.2,-11.9676643474006,-8.98311844602638,0.124445877278414,0.950743959541599
3.3,-11.8755248574957,-8.97206625966924,0.116287171415306,0.938825428793879
3.4,-11.7836068535778,-8.96179966386656,0.108779465392083,0.930085997609462
3.5,-11.6916309870042,-8.95219323702067,0.101919076630278,0.924392827839712
3.6,-11.5994679235377,-8.94318327643399,0.0956828466214258,0.92125021125886
3.7,-11.5069949984153,-8.93470882336299,0.0900467509787565,0.920146306838957
3.8,-11.4140895468743,-8.9267089190641,0.0849867653155018,0.920569273552054
3.9,-11.3206289041518,-8.91912260479379,0.080478865244893,0.922007270370204
4,-11.2264904054851,-8.9118889218085,0.0764990263801612,0.923948456265459
4.1,-11.1315513861112,-8.90494691136468,0.0730232243345379,0.925880990209869
4.2,-11.0356891812675,-8.89823561471878,0.0700274347212543,0.927293031175488
4.3,-10.9388724068946,-8.89170364324556,0.0674846201085205,0.927797423028758
4.4,-10.8414361706786,-8.88533803231541,0.0653556456980385,0.927507619104205
4.5,-10.7438075467561,-8.87913545931263,0.0635983410109569,0.92666269432733
4.6,-10.6464136092641,-8.87309260162156,0.0621705355684182,0.925501723623878
4.7,-10.5496814323395,-8.86720613662653,0.0610300588915648,0.924263781919592
4.8,-10.4540380901194,-8.86147274171186,0.0601347405015394,0.923187944140218
4.9,-10.3599106567405,-8.85588909426187,0.0594424099194845,0.922513285211499
5,-10.2677262063399,-8.85045187166091,0.0589108966665425,0.92247888005918
5.1,-10.1777542145642,-8.8451535767114,0.0585022562020857,0.923225712131457
5.2,-10.0896329690274,-8.8399699928543,0.058195469031097,0.924501904725397
5.3,-10.0028427615674,-8.83487271842508,0.0579737522498392,0.925957242384446
5.4,-9.91686388402224,-8.8298333517592,0.0578203229545751,0.927241509652044
5.5,-9.83117662822989,-8.82482349119215,0.0577183982415675,0.928004491071631
5.6,-9.74526128602832,-8.81981473505938,0.0576511952070793,0.927895971186648
5.7,-9.65859814925553,-8.81477868169639,0.0576019309473734,0.926565734540533
5.8,-9.57066750974948,-8.80968692943862,0.0575538225587127,0.923663565676729
5.9,-9.48094965934817,-8.80451107662156,0.0574900871373601,0.918839249138673
