time,x,y,phi,v
0,-21.0038892799073,-5.81474553619153,-0.0294822714586769,1.26694774699222
0.1,-20.8825739529928,-5.81859737258553,-0.0336616889614077,1.28014460078907
0.2,-20.7584523811589,-5.82318858532457,-0.0378287184815967,1.29437468582684
0.3,-20.6315470221014,-5.82851433238902,-0.0419769397604826,1.30960302214019
0.4,-20.501880333516,-5.83456977175927,-0.0460999325393039,1.32579462976377
0.5,-20.3694747730985,-5.8413500614157,-0.0501912765592994,1.34291452873227
0.6,-20.2343527985446,-5.8488503593387,-0.0542445515617076,1.36092773908032
0.7,-20.0965368675501,-5.85706582350864,-0.0582533372877673,1.37979928084261
0.8,-19.9560494378108,-5.86599161190592,-0.0622112134787169,1.39949417405378
0.9,-19.8129129670224,-5.87562288251092,-0.0661117598757952,1.41997743874851
1,-19.6671499128806,-5.88595479330401,-0.0699485562202407,1.44121409496145
1.1,-19.5187827330812,-5.89698250226558,-0.0737151822532922,1.46316916272727
1.2,-19.3678338853201,-5.90870116737602,-0.0774052177161882,1.48580766208062
1.3,-19.2143258272929,-5.92110594661571,-0.0810122423501674,1.50909461305617
1.4,-19.0582810166954,-5.93419199796503,-0.0845298358964683,1.53299503568858
1.5,-18.8997219112233,-5.94795447940437,-0.0879515780963297,1.55747395001252
1.6,-18.7386709685725,-5.96238854891411,-0.0912710486909902,1.58249637606265
1.7,-18.5751506464386,-5.97748936447462,-0.0944818274216883,1.60802733387362
1.8,-18.4091834025175,-5.99325208406631,-0.0975774940296628,1.6340318434801
1.9,-18.2407916945048,-6.00967186566954,-0.100551628256152,1.66047492491675
2,-18.0699979800964,-6.0267438672647,-0.103397809842395,1.68732159821824
2.1,-17.896824716988,-6.04446324683218,-0.10610961852963,1.71453688341922
2.2,-17.7212943628754,-6.06282516235236,-0.108680634059097,1.74208580055436
2.3,-17.5434293754543,-6.08182477180562,-0.111104436172032,1.76993336965833
2.4,-17.3632522124205,-6.10145723317235,-0.113374604609676,1.79804461076577
2.5,-17.1807853314698,-6.12171770443292,-0.115484719113266,1.82638454391136
2.6,-16.9960511902978,-6.14260134356773,-0.117428359424042,1.85491818912975
2.7,-16.8090722466004,-6.16410330855715,-0.119199105283242,1.88361056645561
2.8,-16.6198709580733,-6.18621875738157,-0.120790536432104,1.91242669592361
