time,x,y,phi,v
0,-20.558556751823,-12.3904006741918,0.0204783417920555,7.44427108764648
0.1,-19.7462831088224,-12.3745372595278,0.0204153775338021,7.47003647521288
0.2,-18.9623446737984,-12.3586293756303,0.0205315817264813,7.44547103187221
0.3,-18.2062824554644,-12.3427107886168,0.0208081559250216,7.37464798402302
0.4,-17.4776374625338,-12.3268152646053,0.0212263016843514,7.26164055806385
0.5,-16.7759507037203,-12.3109765697132,0.021767220559399,7.11052198039324
0.6,-16.1007631877372,-12.2952284700583,0.0224121141050929,6.92536547740975
0.7,-15.451615923298,-12.2796047317583,0.0231421838763614,6.7102442755119
0.8,-14.8280499191163,-12.264139120931,0.023938631428133,6.46923160109826
0.9,-14.2296061839054,-12.2488654036939,0.024782658315336,6.20640068056735
1,-13.6558257263789,-12.2338173461647,0.0256554660928988,5.92582474031773
1.1,-13.1062495552503,-12.2190287144613,0.0265382563157499,5.63157700674793
1.2,-12.5804186792329,-12.2045332747012,0.0274122305388175,5.32773070625651
1.3,-12.0778741070404,-12.1903647930022,0.0282585903170302,5.018359065242
1.4,-11.5981568473861,-12.1765570354819,0.0290585372053162,4.70753531010295
1.5,-11.1408079089835,-12.163143768258,0.029793272758604,4.3993326672379
1.6,-10.7053683005462,-12.1501587574483,0.030443998531822,4.0978243630454
1.7,-10.2913790307876,-12.1376357691704,0.0309919160798986,3.80708362392399
1.8,-9.8986578298506,-12.1256130553884,0.0314238927277179,3.53017806915627
1.9,-9.5281511407281,-12.1141471652852,0.031749905782522,3.26607356964993
2,-9.18109314858294,-12.1032993125438,0.0319858239671373,3.01269033976808
2.1,-8.8587180386558,-12.0931307108486,0.0321475160059832,2.76794859359103
2.2,-8.56225999618738,-12.083702573884,0.0322508506234795,2.52976854519908
2.3,-8.29295320641836,-12.0750761153343,0.0323116965440456,2.29607040867254
2.4,-8.05203185458944,-12.0673125488838,0.0323459224921012,2.06477439809172
2.5,-7.84073012594129,-12.060473088217,0.0323693971920658,1.83380072753692
2.6,-7.66020092383858,-12.0546159138401,0.0323976188335142,1.60119695326934
2.7,-7.50963644572867,-12.0497260390256,0.0324371474527892,1.36808241802652
2.8,-7.38621612353115,-12.0457133671149,0.0324853676119577,1.13872981144716
2.9,-7.28702769312606,-12.0424843796481,0.032539245863815,0.91755548094735
3,-7.20915889039343,-12.0399455581657,0.0325957487611562,0.708975773943214
3.1,-7.1496974512133,-12.0380033842079,0.0326518428567766,0.517407037850853
3.2,-7.1057311114657,-12.036564339315,0.0327044947034715,0.347265620086375
3.3,-7.07434760703065,-12.0355349050273,0.0327506708540362,0.202967868065888
3.4,-7.05263467378821,-12.034821562885,0.0327873378612658,0.0889301292055014
3.5,-7.03799523431665,-12.0343407759907,0.0328122744681205,0.00802373568513223
3.6,-7.02910258726906,-12.0340492386424,0.0328265329914749,-0.0431072430840343
3.7,-7.02495005099565,-12.0339137797551,0.0328319903923019,-0.069387443828107
3.8,-7.02453094385181,-12.0339012282442,0.0328305236315879,-0.0757415032985939
3.9,-7.02683858419294,-12.033978413025,0.032824009670319,-0.0670940582470033
4,-7.03086629037443,-12.0341121630126,0.0328143254694815,-0.0483697454248431
4.1,-7.03560738075167,-12.0342693071224,0.0328033479900617,-0.0244932015836211
4.2,-7.04005517368007,-12.0344166742697,0.0327929541930458,-0.000389063474845658
4.3,-7.04322857112783,-12.034521936611,0.0327849735555709,0.0191353322084151
4.4,-7.04476115184291,-12.0345730261763,0.0327800946987206,0.0320909224342469
4.5,-7.04491612049155,-12.0345786275964,0.0327778376415361,0.0393754591611997
4.6,-7.04398525572175,-12.0345483673064,0.0327776693690069,0.0420177051534565
4.7,-7.04226033618151,-12.0344918717412,0.0327790568661228,0.0410464231752006
4.8,-7.04003314051882,-12.0344187673358,0.0327814671178732,0.0374903759906149
4.9,-7.03759544738167,-12.0343386805253,0.0327843671092477,0.0323783263638825
5,-7.03523903541806,-12.0342612377447,0.0327872238252361,0.0267390370591865
5.1,-7.03324839870666,-12.0341958252058,0.0327895170684821,0.0215796110766982
5.2,-7.03173355094237,-12.0341460752805,0.0327910336507516,0.0173883556213025
5.3,-7.03062608324741,-12.0341097364993,0.0327918743294598,0.0141230604924728
5.4,-7.02984951361351,-12.0340842911652,0.0327921540671987,0.0117175110367892
5.5,-7.0293273600324,-12.0340672215811,0.0327919878265605,0.0101054926008313
5.6,-7.02898314049582,-12.0340560100499,0.0327914905701371,0.00922079053117921
5.7,-7.0287403729955,-12.0340481388745,0.0327907772605207,0.00899719017441265
5.8,-7.02852257552317,-12.0340410903579,0.0327899628603031,0.00936847687711153
5.9,-7.02825326607057,-12.0340323468028,0.0327891623320766,0.0102684359858557
6,-7.02785596262941,-12.0340193905124,0.0327884906384331,0.0116308528472251
6.1,-7.02727359840437,-12.0340003426977,0.0327880374131381,0.0133751822930508
6.2,-7.02652740965388,-12.0339759013368,0.0327877901368426,0.0153630830819845
6.3,-7.02565837027574,-12.0339474139264,0.0327877105407378,0.0174416454725408
6.4,-7.02470745416817,-12.0339162279629,0.0327877603560142,0.0194579597229353
6.5,-7.02371563522939,-12.0338836909431,0.0327879013138626,0.0212591160913839
6.6,-7.02272388735761,-12.0338511503636,0.0327880951454734,0.0226922048361021
6.7,-7.02177318445104,-12.0338199537209,0.0327883035820375,0.0236043162153057
6.8,-7.02090450040789,-12.0337914485116,0.0327884883547454,0.0238425404872104
6.9,-7.02014805375073,-12.0337666287558,0.0327886189430073,0.0233107244239622
7,-7.01949045466241,-12.0337450552796,0.0327886962418712,0.0221428376139809
7.1,-7.01890726253599,-12.0337259257238,0.0327887291074224,0.0205311650710379
7.2,-7.01837403676351,-12.0337084377291,0.0327887263957469,0.0186679918142037
7.3,-7.017866336737,-12.0336917889361,0.0327886969629306,0.0167456028625486
7.4,-7.01735972184852,-12.0336751769857,0.0327886496650595,0.0149562832351431
7.5,-7.0168297514901,-12.0336577995184,0.0327885933582195,0.0134923179510577
7.6,-7.01625198505378,-12.0336388541751,0.0327885368984966,0.0125459920293628
7.7,-7.01560198193161,-12.0336175385963,0.0327884891419768,0.0123095904891289
7.8,-7.01486272541789,-12.0335932940846,0.032788457011228,0.0129057124030709
7.9,-7.01404703676128,-12.0335665412615,0.0327884396576726,0.0141768769056447
8,-7.01317523245578,-12.033537946752,0.0327884342806339,0.0158952475088881
8.1,-7.01226762899541,-12.0335081771811,0.0327884380794354,0.0178329877245552
8.2,-7.0113445428742,-12.0334778991736,0.0327884482534005,0.0197622610644002
8.3,-7.01042629058619,-12.0334477793545,0.0327884620018525,0.0214552310401772
8.4,-7.00953318862538,-12.0334184843487,0.0327884765241149,0.0226840611636403
8.5,-7.00868555348583,-12.0333906807811,0.0327884890195109,0.0232209149465436
8.6,-7.00789897184653,-12.0333648800896,0.032788497283436,0.0229003046737739
8.7,-7.00716979601846,-12.0333409626243,0.0327885015352844,0.0218102915000622
8.8,-7.00648948963594,-12.0333186483357,0.0327885026105425,0.0201033794792293
8.9,-7.00584951633249,-12.0332976571747,0.0327885013446972,0.0179320726756767
9,-7.00524133974161,-12.0332777090918,0.032788498573235,0.0154488751538061
9.1,-7.00465642349682,-12.0332585240376,0.0327884951316428,0.0128062909780192
9.2,-7.00408623123165,-12.0332398219628,0.032788491855407,0.0101568242127176
9.3,-7.0035222265796,-12.0332213228181,0.0327884895800145,0.00765297892230299
9.4,-7.00295598297245,-12.0332027501568,0.0327884891091051,0.00544557557938517
9.5,-7.0023816298555,-12.0331839114046,0.0327884905049499,0.00364624201948557
9.6,-7.00179586983414,-12.0331646984211,0.0327884930834782,0.00232715052333551
9.7,-7.00119551874144,-12.0331450067819,0.0327884961277777,0.00155873719559735
9.8,-7.00057739241045,-12.0331247320621,0.0327884989209362,0.0014114381409334
9.9,-6.9999383066742,-12.0331037698372,0.0327885007460412,0.00195568946400598
10,-6.99927507736576,-12.0330820156825,0.0327885008861806,0.00326192726947741
10.1,-6.99858452031816,-12.0330593651732,0.032788498624442,0.00540058766201005
10.2,-6.99786345136446,-12.0330357138848,0.0327884932439132,0.00844210674626616
10.3,-6.99710881329996,-12.0330109615563,0.0327884840862368,0.0124484457736916
10.4,-6.99632059579402,-12.0329851078504,0.0327884718982753,0.0172781841894154
10.5,-6.99550190751162,-12.0329582547186,0.032788458865373,0.0225817054518248
10.6,-6.99465599850673,-12.0329305087493,0.0327884472380832,0.0279999551648051
10.7,-6.99378611883334,-12.0329019765311,0.0327884392669589,0.0331738789322412
10.8,-6.99289551854543,-12.0328727646522,0.0327884372025533,0.0377444223580183
10.9,-6.99198744769699,-12.0328429797012,0.0327884432954194,0.0413525310460215
11,-6.991065156342,-12.0328127282665,0.0327884597961104,0.0436391506001359
11.1,-6.99013189453443,-12.0327821169364,0.0327884889551794,0.0442452266242466
11.2,-6.98919099924907,-12.0327512551546,0.0327885320544429,0.0429422524974945
11.3,-6.98824615868048,-12.0327202639011,0.0327885864613542,0.0400292245036872
11.4,-6.98730114972136,-12.0326892670698,0.0327886485548216,0.0359383560839061
11.5,-6.98635974926437,-12.0326583885541,0.0327887147137534,0.0311018606842961
11.6,-6.98542573420221,-12.0326277522478,0.0327887813170579,0.025951951751002
11.7,-6.98450288142755,-12.0325974820446,0.0327888447436435,0.0209208427301689
11.8,-6.98359496783309,-12.0325677018381,0.0327889013724184,0.0164407470679416
11.9,-6.9827057703115,-12.0325385355219,0.0327889475822909,0.012943878210465
12,-6.98183888551595,-12.0325101010776,0.0327889798821503,0.010848066509962
12.1,-6.98099359945657,-12.0324823750896,0.0327889978895332,0.0102271534659844
12.2,-6.98016479371304,-12.0324551896691,0.0327890043982597,0.0108035074990256
12.3,-6.9793471508653,-12.0324283703996,0.0327890023456594,0.0122836168729917
12.4,-6.97853535349331,-12.0324017428647,0.032788994669062,0.0143739698517888
12.5,-6.977724084177,-12.0323751326481,0.0327889843057975,0.0167810546993229
12.6,-6.97690802549633,-12.0323483653332,0.0327889741931954,0.0192113596795001
12.7,-6.97608186003125,-12.0323212665036,0.0327889672685857,0.0213713730562264
12.8,-6.9752405064851,-12.0322936694879,0.0327889663809546,0.0229756938084284
12.9,-6.97438445919573,-12.0322655905003,0.0327889722932176,0.0239304410447523
13,-6.97351986978453,-12.0322372313184,0.032788983651671,0.0243360586032027
13.1,-6.97265314232713,-12.0322088020006,0.0327889990081574,0.0243016619938955
13.2,-6.97179068089918,-12.0321805126053,0.0327890169145197,0.0239363667269468
13.3,-6.9709388895763,-12.0321525731909,0.0327890359226007,0.0233492883124723
13.4,-6.97010417243414,-12.0321251938159,0.0327890545842431,0.0226495422605879
13.5,-6.96929293354833,-12.0320985845385,0.0327890714512899,0.0219462440814096
13.6,-6.96851157699453,-12.0320729554172,0.0327890850755838,0.0213485092850533
13.7,-6.96776446686959,-12.0320484495978,0.0327890943629565,0.0209411072169457
13.8,-6.96704770380808,-12.0320249391789,0.0327890996531634,0.0207101867767995
13.9,-6.96635529636449,-12.0320022276375,0.03278910164899,0.0206169288958028
14,-6.96568125309317,-12.0319801184507,0.0327891010532215,0.0206225145033123
14.1,-6.96501958254845,-12.0319584150956,0.0327890985686432,0.0206881245286849
14.2,-6.96436429328468,-12.0319369210491,0.0327890948980405,0.0207749399012775
14.3,-6.96370939385621,-12.0319154397883,0.0327890907441987,0.0208441415504469
14.4,-6.96304889281737,-12.0318937747902,0.0327890868099032,0.02085691040555
14.5,-6.96237697034669,-12.0318717351613,0.0327890837799031,0.0207754846692385
14.6,-6.96169188351147,-12.0318492637325,0.0327890819105016,0.0205872178021632
14.7,-6.96099603955579,-12.0318264394631,0.0327890810218547,0.0203050300064021
14.8,-6.96029203200698,-12.0318033474226,0.0327890809145411,0.019942989062999
14.9,-6.95958245439237,-12.0317800726806,0.0327890813891399,0.0195151627529981
15,-6.95886990023929,-12.0317567003066,0.0327890822462299,0.0190356188574435
15.1,-6.95815696307508,-12.0317333153701,0.0327890832863903,0.0185184251573791
15.2,-6.95744623642706,-12.0317100029407,0.0327890843101998,0.0179776494338491
15.3,-6.95674031382256,-12.0316868480879,0.0327890851182375,0.0174273594678975
15.4,-6.9560409522972,-12.0316639084437,0.0327890855588087,0.0168815352100199
15.5,-6.95534647067215,-12.0316411288638,0.0327890856763879,0.0163537956026428
15.6,-6.9546543045208,-12.0316184252328,0.0327890855658435,0.0158576668483196
15.7,-6.95396188941591,-12.0315957134354,0.0327890853220443,0.0154066751495364
15.8,-6.95326666093025,-12.031572909356,0.0327890850398587,0.0150143467087792
