time,x,y,phi,v
0,-20.6175258063594,-12.3839972197878,-0.000362308817454693,8.26540946960449
0.1,-19.7470050245087,-12.3710513733,0.00538788960623821,8.27821344763378
0.2,-18.8937506278172,-12.3583397841025,0.00989031624096066,8.26833803271743
0.3,-18.05687519769,-12.3459231374946,0.0132506834570852,8.23796566409924
0.4,-17.2354913155325,-12.3338621187752,0.0155747036249844,8.18927878102299
0.5,-16.4287115627501,-12.3222174132435,0.0169680891150307,8.12445982273248
0.6,-15.6356485207479,-12.3110497061986,0.0175365522975967,8.0456912284715
0.7,-14.8554147709313,-12.3004196829395,0.017385805543055,7.95515543748383
0.8,-14.0871228947057,-12.2903880287653,0.016621561221778,7.85503488901327
0.9,-13.3298854734762,-12.2810154289751,0.0153495317041384,7.74751202230361
1,-12.5828150886483,-12.272362568868,0.0136754293605086,7.63476927659865
1.1,-11.8450243216273,-12.264490133743,0.0117049665612612,7.51898909114216
1.2,-11.1156257538183,-12.2574588088993,0.00954385567676869,7.40235390517795
1.3,-10.3937319666268,-12.2513292796359,0.00729780907740368,7.2870461579498
1.4,-9.6784555414581,-12.2461622312519,0.00507253913353866,7.17524828870151
1.5,-8.96890905971742,-12.2420183490464,0.00297375821554618,7.06914273667686
1.6,-8.2642051028101,-12.2389583183184,0.00110717869379878,6.97091194111965
1.7,-7.56345625214145,-12.2370428243671,-0.000421487061331011,6.88273834127367
1.8,-6.86581025118119,-12.2363346475877,-0.00151458707157416,6.80672034841216
1.9,-6.171254346743,-12.236946589336,-0.00226691329607334,6.74295018437039
2,-5.48063275122199,-12.2390425123987,-0.00296970459547185,6.68947215144809
2.1,-4.79482833198923,-12.2427885827797,-0.00392306092170656,6.64423817684605
2.2,-4.11472395641577,-12.2483509664834,-0.00542708222671435,6.60520018776506
2.3,-3.44120249187268,-12.2558958295138,-0.00778186846243206,6.57031011140591
2.4,-2.77514680573103,-12.2655893378753,-0.0112875195807966,6.53751987496938
2.5,-2.11743976536186,-12.277597657572,-0.0162441355337447,6.50478140565626
2.6,-1.46896423813625,-12.2920869546081,-0.0229518162732134,6.47004663066733
2.7,-0.830389473089807,-12.3096488550364,-0.0317426304305763,6.43163226418017
2.8,-0.201515515667863,-12.3326061630919,-0.0430787257846069,6.38933932250054
2.9,0.418078635405686,-12.36372193805,-0.0574553304756645,6.34334629405085
3,1.02881398144713,-12.4057592392658,-0.0753676726501226,6.29383166732214
3.1,1.63111152377275,-12.4614811260948,-0.0973109804543548,6.24097393080547
3.2,2.22539226369884,-12.533650657892,-0.123780482034734,6.18495157299186
3.3,2.81207720254169,-12.6250308940129,-0.155271405537635,6.12594308237238
3.4,3.39158734161759,-12.7383848938126,-0.19227897910943,6.06412694743806
3.5,3.96434368224282,-12.8764757166464,-0.235298430896492,5.99968165667995
3.6,4.53017936777579,-13.0414998779453,-0.28455919485964,5.9327649926739
3.7,5.08652056553763,-13.2333341871097,-0.339202414451944,5.86344995792087
3.8,5.63017748634845,-13.451261829845,-0.398090734461392,5.79178785930148
3.9,6.15796034074475,-13.694565991583,-0.460086799547735,5.71783000368635
4,6.666679339263,-13.9625298577555,-0.524053254370726,5.64162769794613
4.1,7.15314469243971,-14.2544366137943,-0.588852743590119,5.56323224895142
4.2,7.61416661081136,-14.5695694451315,-0.653347911865667,5.48269496357287
4.3,8.04655530491444,-14.9072115371987,-0.716401403857123,5.40006714868109
4.4,8.44723006118334,-15.2666114759649,-0.77689786022372,5.31544574155483
4.5,8.81571614725985,-15.6461912161079,-0.834247437915581,5.23001785602262
4.6,9.15420000450462,-16.0435285736523,-0.88839694017105,5.14608387149407
4.7,9.46498819019845,-16.456163263205,-0.939317392533929,5.06599441622903
4.8,9.7503872616221,-16.8816349993731,-0.986979820548021,4.99210011848734
4.9,10.0127037760564,-17.3174834967634,-1.03135524975713,4.92675160652886
5,10.254244290782,-17.7612484699831,-1.07241470570505,4.87229950861343
5.1,10.4773153630799,-18.210469633639,-1.1101292139356,4.83109445300089
5.2,10.6842235502307,-18.6626867023382,-1.14446979999257,4.80548706795109
5.3,10.8772525470469,-19.1155217281542,-1.17541234153287,4.79776362057782
5.4,11.0581469083772,-19.5685384353337,-1.20304713815774,4.80869262123587
5.5,11.2281045532161,-20.0232692161868,-1.22758050226941,4.83750372150645
5.6,11.3882990388215,-20.4813341999907,-1.24922391657362,4.88335799116959
5.7,11.5399039224514,-20.9443535160228,-1.26818886377608,4.94541650000528
5.8,11.684092761364,-21.4139472935603,-1.28468682658251,5.02284031779353
5.9,11.8220391128172,-21.8917356618804,-1.29892928769865,5.11479051431436
6,11.9549165340692,-22.3793387502605,-1.3111277298302,5.22042815934777
6.1,12.0838985823779,-22.8783766879777,-1.3214936356829,5.33891432267376
6.2,12.2101588150014,-23.3904696043093,-1.33023848796245,5.46941007407236
6.3,12.3348707891978,-23.9172376285327,-1.33757376937459,5.61107648332356
6.4,12.4592080622251,-24.4603008899251,-1.34371096262504,5.76307462020737
6.5,12.5843441913414,-25.0212795177636,-1.34886155041951,5.92456555450381
6.6,12.7114527338046,-25.6017936413257,-1.35323701546373,6.09471035599288
6.7,12.8417072468729,-26.2034633898885,-1.35704884046343,6.27267009445458
6.8,12.9762812878042,-26.8279088927294,-1.36050850812431,6.45760583966894
6.9,13.1163484138567,-27.4767502791255,-1.36382750115211,6.64867866141595
7,13.2630821822884,-28.1516076783542,-1.36721730225255,6.84504962947563
7.1,13.4176561503574,-28.8541012196927,-1.37088939413134,7.04587981362797
