time,x,y,phi,v
0,-23.9941200407394,-2.0956904528947,-0.0916785299777987,12.8533039117328
0.1,-22.6144809938556,-2.22389638934501,-0.0919373709490072,12.7335508705247
0.2,-21.2744629756921,-2.35169747386561,-0.0926498310789715,12.5871363110384
0.3,-19.9735637720627,-2.47891199492311,-0.093766236406637,12.4153468777925
0.4,-18.7112811687814,-2.60535824098412,-0.0952369129709489,12.2194692153059
0.5,-17.4871129516622,-2.73085450051524,-0.0970121868108525,12.0007899680972
0.6,-16.3005569065191,-2.85521906198308,-0.099042383965293,11.7605957806854
0.7,-15.151110819166,-2.97827021385423,-0.101277830473216,11.5001732975891
0.8,-14.0382724754167,-3.09982624459531,-0.103668852373566,11.2208091633271
0.9,-12.9615396610854,-3.21970544267291,-0.106165775705289,10.9237900224182
1,-11.920410161986,-3.33772609655365,-0.10871892650733,10.6104025193812
1.1,-10.9143817639323,-3.45370649470412,-0.111278630818635,10.2819332987347
1.2,-9.94295225273843,-3.56746492559094,-0.113795214678148,9.93966900499764
1.3,-9.00561941421825,-3.67881967768069,-0.116219004124814,9.58489628268871
1.4,-8.10188103418573,-3.78758903944,-0.11850032519758,9.21890177632668
1.5,-7.23123489845483,-3.89359129933546,-0.120589503935391,8.84297213043034
1.6,-6.3931787928395,-3.99664474583367,-0.12243686637719,8.45839398951843
1.7,-5.58721050315369,-4.09656766740125,-0.123992738561925,8.06645399810973
1.8,-4.81282781521136,-4.1931783525048,-0.12520744652854,7.66843880072301
1.9,-4.06956623122909,-4.28629440603613,-0.126033917840672,7.26569271582816
2,-3.35782187026595,-4.37571783500575,-0.126484441926008,6.86087607217859
2.1,-2.6788476740466,-4.4612351173088,-0.126630408369337,6.45795940695435
2.2,-2.03393354185836,-4.5426320610189,-0.126545755938425,6.06096977090814
2.3,-1.42436937298852,-4.61969447420965,-0.126304423401042,5.67393421479266
2.4,-0.851445066724379,-4.69220816495467,-0.125980349524955,5.30087978936061
2.5,-0.316450522353246,-4.75995894132759,-0.125647473077933,4.94583354536469
2.6,0.179324360840511,-4.82273261140245,-0.12537973282765,4.6128225335482
2.7,0.635087256732152,-4.88038906354655,-0.125235188451261,4.30427614756493
2.8,1.05202536476716,-4.93308290426439,-0.125208726874118,4.01626772467795
2.9,1.43181808856247,-4.98104202100148,-0.125279527271983,3.74329018433887
3,1.776144831735,-5.02449430120332,-0.125426768820623,3.47983644599933
3.1,2.08668499790167,-5.06366763231541,-0.125629630695801,3.22039942911095
3.2,2.3651179906794,-5.09878990178327,-0.12586729207328,2.95947205312533
3.3,2.61312321368513,-5.13008899705239,-0.126118932128827,2.69154723749412
3.4,2.83238007053577,-5.15779280556828,-0.126363730038204,2.41111790166892
3.5,3.02458368214883,-5.18212703063994,-0.126584514759055,2.11481158325012
3.6,3.19149330605725,-5.20330846290581,-0.126779008687995,1.80796642397223
