time,x,y,phi,v
0,-19.1060963604068,-6.49571432773837,0.113414927324976,3.43788027763367
0.1,-18.7748749080012,-6.45913541839619,0.111751724741113,3.37896447861737
0.2,-18.4413698373005,-6.42229270482511,0.110420699663727,3.33027025737239
0.3,-18.1063410018516,-6.38529932191125,0.10937559454669,3.29005788402826
0.4,-17.7705482552011,-6.34826840454072,0.108570151843873,3.25658762871449
0.5,-17.434751450896,-6.31131308759965,0.107958114009145,3.2281197615606
0.6,-17.099710442483,-6.27454650597414,0.107493223496378,3.20291455269609
0.7,-16.7661850835089,-6.23808179455032,0.107129222759443,3.1792322722505
0.8,-16.4349352275206,-6.2020320882143,0.10681985425221,3.15533319035333
0.9,-16.1067207280648,-6.1665105218522,0.106518860428551,3.1294775771341
1,-15.7823014386884,-6.13163023035014,0.106179983742335,3.09992570272232
1.1,-15.4624372129381,-6.09750434859422,0.105756966647434,3.06493783724752
1.2,-15.1478879043607,-6.06424601147058,0.105203551597719,3.0227742508392
1.3,-14.8394133665032,-6.03196835386532,0.10447348104706,2.97169521362689
1.4,-14.5377734529122,-6.00078451066457,0.103520497449328,2.90996099574009
1.5,-14.2439453334534,-5.97081262271514,0.102321129851445,2.83572352648002
1.6,-13.9597784727142,-5.94219092449111,0.100943371323608,2.74669986153512
1.7,-13.6873411689614,-5.91506269138018,0.0994781606311611,2.64049795930085
1.8,-13.4287017204625,-5.88957119877009,0.098016436539485,2.51472577817249
1.9,-13.1859284254846,-5.86585972204858,0.0966491378139596,2.36699127654533
2,-12.961089582295,-5.84407153660338,0.0954672032199652,2.19490241281466
2.1,-12.756253489161,-5.82434991782223,0.094561571522882,1.99606714537575
2.2,-12.572989170833,-5.80679589882797,0.0939976314606931,1.77039228022272
2.3,-12.410816837581,-5.7913371677511,0.0937359249002076,1.52721815444917
2.4,-12.2687312328442,-5.77785695430746,0.0937101032534648,1.27830455685491
2.5,-12.1457270997447,-5.76623848818604,0.0938538179162777,1.03541127769968
2.6,-12.0407991814046,-5.75636499907583,0.0941007202844591,0.810298107243228
2.7,-11.9529422209459,-5.74811971666583,0.094384461753822,0.614724835745311
2.8,-11.8811509614909,-5.74138587064503,0.0946386937201793,0.460451253465679
2.9,-11.8241078359461,-5.73602144586388,0.0948104955437832,0.355986587249384
3,-11.7791924111451,-5.73177911315485,0.0949029640906482,0.29627967244386
3.1,-11.7434445605924,-5.72838408506431,0.0949338015445683,0.272743774143208
3.2,-11.713904156897,-5.72556157406621,0.0949207101278471,0.276792148119317
3.3,-11.6876110726676,-5.72303679263455,0.0948813920627885,0.299838050144076
3.4,-11.6616051805131,-5.72053495324327,0.0948335495716962,0.333294735989377
3.5,-11.6329263530424,-5.71778126836635,0.094794884876874,0.368575461427107
3.6,-11.5992372624493,-5.71455880215488,0.0947794579019295,0.398658454715731
3.7,-11.5607483606372,-5.71088728129582,0.0947864284726902,0.422924011879107
3.8,-11.5183215095783,-5.70684694177296,0.0948111467945192,0.442389293928922
3.9,-11.472818571512,-5.70251801959495,0.0948489630712169,0.458071462548332
4,-11.4251014086776,-5.69798075077042,0.0948952275065838,0.470987679420495
4.1,-11.3760318833145,-5.69331537130799,0.0949452903044203,0.482155106228569
4.2,-11.3264718576622,-5.68860211721631,0.0949945016685268,0.49259090465571
4.3,-11.2772565083654,-5.68391872335585,0.0950383324321429,0.503289306604296
4.4,-11.2285731306587,-5.6792822009114,0.0950751821086681,0.514687847415312
4.5,-11.17994160032,-5.67464700615876,0.0951064672113572,0.526650577667389
4.6,-11.1308511988417,-5.66996472787758,0.0951337425517319,0.53901525958902
4.7,-11.0807912077165,-5.66518695484751,0.0951585629413138,0.551619655408695
4.8,-11.0292509084368,-5.6602652758482,0.0951824831916246,0.564301527354906
4.9,-10.9757195824953,-5.65515127965929,0.0952070581141859,0.576898637656144
5,-10.9196865113846,-5.64979655506043,0.0952338425205193,0.589248748540899
5.1,-10.8606628641361,-5.64415476862642,0.0952643291966147,0.601193039784756
5.2,-10.7986883273705,-5.63822975937434,0.0952985132002506,0.612655214546137
5.3,-10.7343454401271,-5.63207689957617,0.0953348512385464,0.623643737624038
5.4,-10.6682414965933,-5.62575391152262,0.0953717298667767,0.634170939116592
5.5,-10.6009837909564,-5.61931851750441,0.0954075356402162,0.644249149121933
5.6,-10.5331796174041,-5.61282843981229,0.0954406551141393,0.653890697738194
5.7,-10.4654362701237,-5.60634140073696,0.0954694748438207,0.663107915063509
5.8,-10.3983411830443,-5.59991325022438,0.0954924107708695,0.671913167764642
5.9,-10.331998991735,-5.59355432194493,0.0955085932120029,0.680319711483406
6,-10.2660166240244,-5.58722802769743,0.0955178889197879,0.688341718289262
6.1,-10.1999781647421,-5.58089562573519,0.0955201984465541,0.695993402312411
6.2,-10.1334676987175,-5.57451837431149,0.0955154223446314,0.703288977683053
6.3,-10.0660693107802,-5.56805753167965,0.0955034611663492,0.710242658531387
6.4,-9.99736708575972,-5.56147435609296,0.0954842154640374,0.716868658987615
6.5,-9.92694510848553,-5.55473010580473,0.0954575857900257,0.723181193181936
